Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Trae Young,73,1914,741,217,80,9,42.9,33.5
Dejounte Murray,74,1515,448,389,112,19,46.4,34.4
De'Andre Hunter,67,1029,94,284,35,17,46.1,35.0
John Collins,71,931,85,462,42,73,50.8,29.2
Onyeka Okongwu,80,791,81,576,56,107,63.8,30.8
Clint Capela,65,779,58,717,45,79,65.3,0.0
Bogdan Bogdanovic,54,756,150,165,43,18,44.7,40.6
AJ Griffin,72,639,73,153,42,12,46.5,39.0
Jalen Johnson,70,395,83,282,38,34,49.1,28.8
Saddiq Bey,25,291,34,120,20,1,47.0,40.0
