Player,GP,Points,Assists,Rebounds,Steals,Blocks,FG%,3PT%
Bojan Bogdanovic,59,1273,152,223,34,8,48.8,41.1
Jaden Ivey,74,1204,387,288,61,17,41.6,34.3
Killian Hayes,76,786,470,221,104,28,37.7,28.0
Saddiq Bey,52,771,84,242,50,12,40.4,34.5
Alec Burks,51,652,114,158,38,8,43.6,41.4
Jalen Duren,67,612,75,595,44,59,64.8,0.0
Isaiah Stewart,50,567,70,403,20,34,44.2,32.7
Hamidou Diallo,56,522,55,194,53,16,57.3,23.8
Marvin Bagley III,42,504,36,269,19,30,52.9,28.8
Cory Joseph,62,427,217,106,34,9,42.7,38.9
